Entity,Code,Year,Coal Consumption - TWh,Oil Consumption - TWh,Gas Consumption - TWh,Nuclear Consumption - TWh,Hydro Consumption - TWh,Wind Consumption - TWh,Solar Consumption - TWh,Geo Biomass Other - TWh
France,FRA,1979,370.0985107421875,1408.64208984375,242.37600708007812,113.38710021972656,196.4006805419922,0,0,1.4840102195739746
France,FRA,1980,362.361083984375,1309.013671875,251.71975708007812,173.80062866210938,205.58984375,0,0,1.4710235595703125
France,FRA,1981,330.2919921875,1181.7371826171875,255.7169952392578,298.8641052246094,213.48033142089844,0,0,1.492152452468872
France,FRA,1982,337.7351989746094,1094.396240234375,245.77224731445312,309.0592956542969,208.68910217285156,0,0,1.527340054512024
France,FRA,1983,305.63641357421875,1068.1715087890625,261.802490234375,409.3427429199219,205.34225463867188,0,0,1.5586999654769897
France,FRA,1984,292.26190185546875,1029.90576171875,266.99200439453125,542.6293334960938,194.2449493408203,0,0,1.6223000288009644
France,FRA,1985,283.65570068359375,1012.8424682617188,285.79150390625,635.8870849609375,184.67384338378906,0,0,1.65215003490448
France,FRA,1986,234.46080017089844,1033.2645263671875,287.4152526855469,721.1685791015625,186.3223876953125,0,0,1.6627999544143677
France,FRA,1987,213.41050720214844,1040.2767333984375,290.8160095214844,753.4169921875,210.20513916015625,0,0,1.750599980354309
France,FRA,1988,208.40960693359375,1034.020263671875,289.3612365722656,781.794921875,228.03500366210938,0,0,1.7732499837875366
France,FRA,1989,226.90130615234375,1061.673828125,283.1477355957031,862.4087524414062,138.5121612548828,0,0,1.8414499759674072
France,FRA,1990,220.85369873046875,1077.647705078125,302.7535095214844,891.2095336914062,159.28118896484375,0.0008027777657844126,0,1.9129999876022339
France,FRA,1991,235.04229736328125,1141.23193359375,331.666259765625,940.1821899414062,170.3284912109375,0.0014472221955657005,0,2.1019999980926514
France,FRA,1992,207.24659729003906,1139.4677734375,330.989990234375,960.3427124023438,203.9021453857422,0.0014472221955657005,0.004399999976158142,2.134000062942505
France,FRA,1993,169.33279418945312,1098.2132568359375,338.5147399902344,1044.7388916015625,191.89381408691406,0.00711111119017005,0.00497222226113081,1.9739999771118164
France,FRA,1994,166.54159545898438,1062.0352783203125,323.1502380371094,1021.4514770507812,232.99301147460938,0.013916666619479656,0.0055555556900799274,2.1570000648498535
France,FRA,1995,170.4958038330078,1070.697021484375,343.9782409667969,1070.3985595703125,216.21209716796875,0.013944444246590137,0.0060277776792645454,2.3289999961853027
France,FRA,1996,181.6605987548828,1093.0750732421875,380.1465148925781,1127.4581298828125,195.29139709472656,0.02197222225368023,0.007833333685994148,2.4230000972747803
France,FRA,1997,159.09840393066406,1101.11376953125,364.46923828125,1122.18896484375,188.54946899414062,0.0329066663980484,0.0100833335891366,2.674999952316284
France,FRA,1998,189.2200927734375,1141.11376953125,388.5947570800781,1100.9273681640625,183.60833740234375,0.05765305459499359,0.012083332985639572,2.6530001163482666
France,FRA,1999,169.4490966796875,1157.1685791015625,396.21148681640625,1118.6732177734375,214.42311096191406,0.10924416780471802,0.013444444164633751,2.8529999256134033
France,FRA,2000,164.76129150390625,1138.9818115234375,415.9635009765625,1178.0283203125,196.23468017578125,0.1419355571269989,0.015444444492459297,2.9860000610351562
France,FRA,2001,144.18780517578125,1144.567626953125,436.6839904785156,1187.0509033203125,218.1836395263672,0.38485026359558105,0.018111111596226692,3.3340001106262207
France,FRA,2002,148.60989379882812,1112.9808349609375,435.9427490234375,1223.3218994140625,176.28884887695312,0.7734910845756531,0.020722221583127975,3.5369999408721924
France,FRA,2003,157.97935485839844,1114.92138671875,457.26824951171875,1227.474609375,170.9420166015625,1.1252480745315552,0.022527778521180153,3.7170000076293945
France,FRA,2004,150.38844299316406,1124.8521728515625,466.9252624511719,1239.4857177734375,171.6167755126953,1.7145828008651733,0.02433333359658718,3.7820000648498535
