country,year,source,cost
China,2008,Solar photovoltaic ,NA
China,2008,Concentrated solar power ,NA
China,2008,Hydropower ,NA
China,2008,Onshore wind ,0.0898723
China,2009,Bioenergy ,NA
China,2009,Geothermal ,NA
China,2009,Offshore wind ,NA
China,2009,Solar photovoltaic ,NA
China,2009,Concentrated solar power ,NA
China,2009,Hydropower ,NA
China,2009,Onshore wind ,0.09099171
Denmark,1984,Bioenergy ,NA
Denmark,1984,Geothermal ,NA
Denmark,1984,Offshore wind ,NA
Denmark,1984,Solar photovoltaic ,NA
Denmark,1984,Concentrated solar power ,NA
Denmark,1984,Hydropower ,NA
Denmark,1984,Onshore wind ,0.2371748
Denmark,1985,Bioenergy ,NA
Denmark,1985,Geothermal ,NA
Denmark,1985,Offshore wind ,NA
Denmark,1985,Solar photovoltaic ,NA
Denmark,1985,Concentrated solar power ,NA
Denmark,1985,Hydropower ,NA
Denmark,1985,Onshore wind ,0.22235282
Denmark,1986,Bioenergy ,NA
Denmark,1986,Geothermal ,NA
Denmark,1986,Offshore wind ,NA
Denmark,1986,Solar photovoltaic ,NA
Denmark,1986,Concentrated solar power ,NA
Denmark,1986,Hydropower ,NA
Denmark,1986,Onshore wind ,0.21547599
Denmark,1987,Bioenergy ,NA
Denmark,1987,Geothermal ,NA
Denmark,1987,Offshore wind ,NA
Denmark,1987,Solar photovoltaic ,NA
Denmark,1987,Concentrated solar power ,NA
Denmark,1987,Hydropower ,NA
Denmark,1987,Onshore wind ,0.20560089
Denmark,1988,Bioenergy ,NA
Denmark,1988,Geothermal ,NA
Denmark,1988,Offshore wind ,NA
Denmark,1988,Solar photovoltaic ,NA
Denmark,1988,Concentrated solar power ,NA
Denmark,1988,Hydropower ,NA
Denmark,1988,Onshore wind ,0.21551454
Denmark,1989,Bioenergy ,NA
Denmark,1989,Geothermal ,NA
Denmark,1989,Offshore wind ,NA
Denmark,1989,Solar photovoltaic ,NA
Denmark,1989,Concentrated solar power ,NA
Denmark,1989,Hydropower ,NA
Denmark,1989,Onshore wind ,0.19646904
Denmark,1990,Bioenergy ,NA
Denmark,1990,Geothermal ,NA
Denmark,1990,Offshore wind ,NA
Denmark,1990,Solar photovoltaic ,NA
Denmark,1990,Concentrated solar power ,NA
Denmark,1990,Hydropower ,NA
Denmark,1990,Onshore wind ,0.19716702
Denmark,1991,Bioenergy ,NA
Denmark,1991,Geothermal ,NA
Denmark,1991,Offshore wind ,NA
Denmark,1991,Solar photovoltaic ,NA
