beach,master_id,material,structure,cm_from_tape,size_cm,quantity,m_from_base,frac_from_base
top,top_5,Foam,Fragment,75,2,7,4.50590143374383,0.635643564356436
top,top_5,Hard plastic,Fragment,90,1,1,4.51993850986141,0.637623762376238
top,top_5,Foam,Fragment,110,3,3,4.53397558597899,0.63960396039604
top,top_5,Other,Bottle,100,15,1,4.54801266209657,0.641584158415841
top,top_5,Foam,Fragment,100,15,4,4.59012389044932,0.647524752475248
top,top_5,Hard plastic,Bottle,40,4,1,4.6041609665669,0.649504950495049
top,top_5,Foam,Fragment,70,2,3,4.66030927103723,0.657425742574257
top,top_5,Hard plastic,Bottle,15,15,1,4.67434634715481,0.659405940594059
top,top_5,Foam,Fragment,20,3,2,4.80068003221305,0.677227722772277
top,top_5,Hard plastic,Bottle,25,12,1,4.80068003221305,0.677227722772277
top,top_5,Hard plastic,Other,0,2,1,4.9971990978592,0.704950495049505
top,top_5,Foam,Cup,65,10,1,5.06738447844711,0.714851485148515
top,top_5,Hard plastic,Fragment,0,1,1,5.17968108738776,0.730693069306931
top,top_5,Hard plastic,Bottle,110,12,1,6.96238975432068,0.982178217821782
top,top_6,Thin plastic,Other,25,26,1,2.1134573468873,0.47211155378486
top,top_6,Hard plastic,Other,20,1,1,3.04088166788426,0.679282868525896
top,top_6,Foam,Cup,55,15,1,4.30717256770703,0.962151394422311
top,top_6,Hard plastic,Other,20,1,1,4.47660585711994,1
